wall,env_steps,update,mean_return,mean_percent,best_percent,pi_loss,v_loss,entropy,kl,clip_frac,steps_per_sec
3153.2,165376,163,-0.065,0.0935,0.1941,-0.0051,0.0038,0.4504,0.00387,0.011,56.6
3171.5,166400,164,-0.06,0.094,0.1941,-0.0033,0.0077,0.491,0.00511,0.0193,56.5
3190.8,167424,165,-0.052,0.0948,0.1941,-0.0066,0.0054,0.5275,0.00418,0.0295,53.5
3209.1,168448,166,-0.047,0.0953,0.1941,-0.0068,0.0052,0.4171,0.00917,0.0527,56.6
3228.4,169472,167,-0.039,0.0961,0.1941,-0.0042,0.0018,0.4188,0.00466,0.0132,53.4
3246.7,170496,168,-0.034,0.0966,0.1941,-0.005,0.0038,0.4191,0.00216,0.032,56.5
3266.0,171520,169,-0.026,0.0974,0.1941,-0.0062,0.0062,0.4012,0.00675,0.0415,53.4
3284.3,172544,170,-0.02,0.098,0.1941,-0.0025,0.003,0.3962,0.00168,0.0254,56.6
3302.6,173568,171,-0.018,0.0982,0.1941,-0.0067,0.0022,0.3714,0.00353,0.0308,56.4
3320.9,174592,172,-0.013,0.0987,0.1941,-0.01,0.006,0.3978,0.00297,0.0332,56.5
3340.3,175616,173,-0.006,0.0994,0.1941,-0.0085,0.0064,0.4393,0.0034,0.0337,53.4
3358.6,176640,174,-0.002,0.0998,0.1941,-0.0045,0.0025,0.396,0.00051,0.0225,56.5
3376.9,177664,175,0.003,0.1003,0.1941,-0.0064,0.0022,0.3917,0.00103,0.0166,56.5
3396.2,178688,176,0.008,0.1008,0.1941,-0.009,0.0043,0.4162,0.00235,0.0259,53.3
3414.5,179712,177,0.013,0.1013,0.1941,-0.0047,0.0014,0.4382,0.00264,0.0315,56.5
3432.8,180736,178,0.017,0.1017,0.1941,-0.006,0.0032,0.407,0.00435,0.0305,56.5
3452.1,181760,179,0.029,0.1029,0.1947,-0.0076,0.0041,0.4186,0.00159,0.0215,53.5
3470.4,182784,180,0.035,0.1035,0.1947,-0.0074,0.0027,0.4089,0.00496,0.0439,56.5
3488.6,183808,181,0.042,0.1042,0.1947,-0.0106,0.003,0.3822,0.00174,0.0269,56.5
3507.0,184832,182,0.049,0.1049,0.1947,-0.0105,0.0026,0.4041,0.01164,0.0811,56.5
3525.2,185856,183,0.055,0.1055,0.1947,-0.0109,0.0019,0.4103,0.00294,0.0188,56.5
3543.5,186880,184,0.061,0.1061,0.1947,-0.006,0.0015,0.3916,0.00259,0.0547,56.6
3561.8,187904,185,0.068,0.1068,0.1947,-0.0079,0.0023,0.3775,0.00362,0.0608,56.5
3580.0,188928,186,0.075,0.1075,0.1947,-0.0054,0.0017,0.3684,0.00439,0.0374,56.6
3598.3,189952,187,0.081,0.1081,0.1947,-0.0044,0.0017,0.3594,0.00743,0.05,56.6
3616.6,190976,188,0.088,0.1088,0.1947,-0.0036,0.0029,0.3448,0.00514,0.0315,56.5
3635.9,192000,189,0.099,0.1099,0.1947,-0.0064,0.0029,0.3912,0.00809,0.0234,53.5
3654.2,193024,190,0.105,0.1105,0.1947,-0.0098,0.0017,0.379,0.00603,0.0571,56.5
3673.5,194048,191,0.106,0.1106,0.1947,-0.0031,0.0041,0.3771,0.00151,0.0166,53.5
3691.8,195072,192,0.113,0.1113,0.1947,-0.0075,0.002,0.37,0.00464,0.0354,56.5
3710.0,196096,193,0.119,0.1119,0.1947,-0.0107,0.0016,0.3796,0.00333,0.0544,56.5
3728.3,197120,194,0.125,0.1125,0.1947,-0.0084,0.0017,0.376,0.00382,0.0437,56.6
3747.6,198144,195,0.131,0.1131,0.1947,-0.0032,0.0126,0.4376,0.00291,0.0349,53.5
3765.9,199168,196,0.138,0.1138,0.1947,-0.007,0.0033,0.385,0.00461,0.0332,56.6
3784.1,200192,197,0.144,0.1144,0.1947,-0.0078,0.0017,0.391,0.00425,0.0471,56.6
3802.4,201216,198,0.149,0.1149,0.1947,-0.0037,0.004,0.3708,0.0033,0.052,56.6
3820.7,202240,199,0.156,0.1156,0.1947,-0.0076,0.0038,0.3594,0.00287,0.0493,56.6
3838.9,203264,200,0.159,0.1159,0.1947,-0.0092,0.0024,0.3565,0.01303,0.0771,56.6
3857.2,204288,201,0.165,0.1165,0.1947,-0.0047,0.003,0.3538,0.00321,0.0635,56.6
3876.5,205312,202,0.176,0.1176,0.1947,-0.0109,0.0016,0.3567,-0.00014,0.0349,53.5
3894.8,206336,203,0.176,0.1176,0.1947,-0.0038,0.0095,0.4126,0.00358,0.0254,56.5
3913.1,207360,204,0.18,0.118,0.1947,-0.0101,0.0018,0.351,0.01207,0.0706,56.5
3932.4,208384,205,0.184,0.1184,0.1947,-0.0027,0.0091,0.351,0.00423,0.0432,53.4
3950.7,209408,206,0.191,0.1191,0.1947,-0.0093,0.0019,0.3431,0.00511,0.0608,56.6
