wall,env_steps,episode,return,best_percent,steps,complete,dead
1387.6,65815,259,-0.114,0.0886,437,0,1
1393.4,66098,260,-0.451,0.0549,283,0,1
1403.7,66655,261,0.083,0.1083,557,0,1
1409.4,66932,262,-0.462,0.0538,277,0,1
1415.2,67218,263,-0.445,0.0555,286,0,1
1425.5,67750,264,0.071,0.1071,532,0,1
1437.2,68390,265,0.244,0.1244,640,0,1
1443.0,68676,266,-0.445,0.0555,286,0,1
1448.8,68961,267,-0.447,0.0553,285,0,1
1460.4,69595,268,0.233,0.1233,634,0,1
1471.3,70163,269,0.144,0.1144,568,0,1
1481.6,70718,270,0.079,0.1079,555,0,1
1490.4,71182,271,-0.099,0.0901,464,0,1
1501.9,71791,272,0.223,0.1223,609,0,1
1514.3,72472,273,0.324,0.1324,681,0,1
1527.6,73206,274,0.426,0.1426,734,0,1
1539.2,73821,275,0.232,0.1232,615,0,1
1550.8,74453,276,0.229,0.1229,632,0,1
1559.4,74909,277,-0.114,0.0886,456,0,1
1569.7,75461,278,0.073,0.1073,552,0,1
1576.4,75777,279,-0.354,0.0646,316,0,1
1585.0,76233,280,-0.114,0.0886,456,0,1
1596.5,76866,281,0.23,0.123,633,0,1
1606.9,77422,282,0.081,0.1081,556,0,1
1609.5,77520,283,-0.81,0.019,98,0,1
1616.1,77833,284,-0.354,0.0646,313,0,1
1628.5,78514,285,0.324,0.1324,681,0,1
1640.1,79148,286,0.233,0.1233,634,0,1
1650.5,79706,287,0.085,0.1085,558,0,1
1654.7,79873,288,-0.641,0.0359,167,0,1
1663.3,80329,289,-0.114,0.0886,456,0,1
1669.1,80615,290,-0.445,0.0555,286,0,1
1675.7,80947,291,-0.354,0.0646,332,0,1
1682.3,81279,292,-0.354,0.0646,332,0,1
1693.1,81868,293,0.144,0.1144,589,0,1
1704.0,82437,294,0.144,0.1144,569,0,1
1715.5,83066,295,0.223,0.1223,629,0,1
1725.7,83614,296,0.065,0.1065,548,0,1
1737.3,84229,297,0.233,0.1233,615,0,1
1748.2,84820,298,0.148,0.1148,591,0,1
1754.8,85152,299,-0.354,0.0646,332,0,1
1768.0,85882,300,0.418,0.1418,730,0,1
1782.7,86675,301,0.581,0.1581,793,0,1
1795.9,87406,302,0.42,0.142,731,0,1
1806.3,87964,303,0.085,0.1085,558,0,1
1819.5,88674,304,0.418,0.1418,710,0,1
1832.0,89360,305,0.333,0.1333,686,0,1
1844.4,90043,306,0.327,0.1327,683,0,1
1856.1,90662,307,0.244,0.1244,619,0,1
1872.1,91556,308,0.739,0.1739,894,0,1
1883.7,92170,309,0.233,0.1233,614,0,1
1895.4,92809,310,0.242,0.1242,639,0,1
1907.9,93497,311,0.337,0.1337,688,0,1
1921.2,94210,312,0.422,0.1422,713,0,1
1934.4,94942,313,0.422,0.1422,732,0,1
1947.7,95673,314,0.42,0.142,731,0,1
1956.3,96129,315,-0.114,0.0886,456,0,1
1962.1,96395,316,-0.445,0.0555,266,0,1
1976.8,97207,317,0.581,0.1581,812,0,1
1987.7,97798,318,0.148,0.1148,591,0,1
1998.0,98337,319,0.085,0.1085,539,0,1
2009.6,98966,320,0.223,0.1223,629,0,1
2015.4,99252,321,-0.445,0.0555,286,0,1
2025.7,99807,322,0.079,0.1079,555,0,1
2037.2,100416,323,0.223,0.1223,609,0,1
2048.9,101056,324,0.244,0.1244,640,0,1
2059.8,101646,325,0.146,0.1146,590,0,1
2072.3,102329,326,0.327,0.1327,683,0,1
2086.0,103071,327,0.482,0.1482,742,0,1
2097.6,103705,328,0.233,0.1233,634,0,1
2107.9,104256,329,0.071,0.1071,551,0,1
2121.1,104970,330,0.424,0.1424,714,0,1
2134.5,105707,331,0.431,0.1431,737,0,1
2148.2,106469,332,0.482,0.1482,762,0,1
2159.1,107038,333,0.144,0.1144,569,0,1
2164.9,107323,334,-0.447,0.0553,285,0,1
2177.3,108004,335,0.324,0.1324,681,0,1
2190.5,108715,336,0.418,0.1418,711,0,1
2204.3,109477,337,0.482,0.1482,762,0,1
2217.6,110211,338,0.426,0.1426,734,0,1
2228.5,110780,339,0.144,0.1144,569,0,1
2244.4,111673,340,0.737,0.1737,893,0,1
2258.6,112461,341,0.531,0.1531,788,0,1
2272.3,113204,342,0.482,0.1482,743,0,1
2285.6,113938,343,0.426,0.1426,734,0,1
2298.9,114670,344,0.422,0.1422,732,0,1
2312.1,115381,345,0.418,0.1418,711,0,1
2325.5,116117,346,0.43,0.143,736,0,1
2337.2,116737,347,0.233,0.1233,620,0,1
2353.7,117672,348,0.818,0.1818,935,0,1
2362.5,118137,349,-0.097,0.0903,465,0,1
2365.2,118235,350,-0.81,0.019,98,0,1
2376.1,118809,351,0.154,0.1154,574,0,1
2389.9,119570,352,0.482,0.1482,761,0,1
2403.6,120332,353,0.482,0.1482,762,0,1
2415.2,120946,354,0.233,0.1233,614,0,1
2431.1,121836,355,0.731,0.1731,890,0,1
2436.8,122113,356,-0.462,0.0538,277,0,1
2442.6,122399,357,-0.445,0.0555,286,0,1
2455.9,123114,358,0.426,0.1426,715,0,1
2471.7,124002,359,0.728,0.1728,888,0,1
2487.7,124893,360,0.733,0.1733,891,0,1
2498.5,125463,361,0.146,0.1146,570,0,1
2510.2,126097,362,0.233,0.1233,634,0,1
2518.8,126552,363,-0.114,0.0886,455,0,1
2534.8,127425,364,0.735,0.1735,873,0,1
2552.4,128423,365,0.941,0.1941,998,0,1
2568.4,129298,366,0.739,0.1739,875,0,1
2581.6,130025,367,0.418,0.1418,727,0,1
2593.2,130660,368,0.234,0.1234,635,0,1
2603.6,131199,369,0.085,0.1085,539,0,1
2618.8,132052,370,0.66,0.166,853,0,1
2636.5,133050,371,0.941,0.1941,998,0,1
2646.8,133586,372,0.079,0.1079,536,0,1
2657.8,134181,373,0.156,0.1156,595,0,1
2673.7,135070,374,0.729,0.1729,889,0,1
2687.4,135813,375,0.482,0.1482,743,0,1
2699.1,136447,376,0.232,0.1232,634,0,1
2712.3,137178,377,0.42,0.142,731,0,1
2730.0,138162,378,0.949,0.1949,984,0,1
2741.7,138802,379,0.244,0.1244,640,0,1
2757.7,139677,380,0.737,0.1737,875,0,1
2773.5,140566,381,0.729,0.1729,889,0,1
2791.2,141544,382,0.941,0.1941,978,0,1
2802.2,142138,383,0.154,0.1154,594,0,1
2818.1,143032,384,0.739,0.1739,894,0,1
2829.8,143651,385,0.244,0.1244,619,0,1
2847.5,144649,386,0.941,0.1941,998,0,1
2859.2,145289,387,0.244,0.1244,640,0,1
2876.9,146268,388,0.941,0.1941,979,0,1
2894.6,147267,389,0.943,0.1943,999,0,1
2912.4,148248,390,0.945,0.1945,981,0,1
2930.1,149246,391,0.942,0.1942,998,0,1
2935.8,149505,392,-0.462,0.0538,259,0,1
2949.5,150267,393,0.482,0.1482,762,0,1
2963.3,151029,394,0.482,0.1482,762,0,1
2981.0,152007,395,0.941,0.1941,978,0,1
2998.6,153005,396,0.941,0.1941,998,0,1
3007.5,153473,397,-0.091,0.0909,468,0,1
3025.2,154453,398,0.943,0.1943,980,0,1
3039.0,155215,399,0.482,0.1482,762,0,1
3047.6,155651,400,-0.114,0.0886,436,0,1
3065.3,156649,401,0.941,0.1941,998,0,1
3075.6,157203,402,0.077,0.1077,554,0,1
3093.3,158182,403,0.941,0.1941,979,0,1
3111.0,159180,404,0.941,0.1941,998,0,1
3128.7,160159,405,0.941,0.1941,979,0,1
3146.3,161157,406,0.941,0.1941,998,0,1
3160.1,161900,407,0.482,0.1482,743,0,1
3177.8,162898,408,0.945,0.1945,998,0,1
3195.5,163876,409,0.941,0.1941,978,0,1
3213.3,164878,410,0.949,0.1949,1002,0,1
3231.0,165879,411,0.947,0.1947,1001,0,1
3248.8,166861,412,0.949,0.1949,982,0,1
3262.5,167623,413,0.482,0.1482,762,0,1
3269.1,167937,414,-0.354,0.0646,314,0,1
3286.8,168936,415,0.943,0.1943,999,0,1
3302.7,169826,416,0.731,0.1731,890,0,1
3318.6,170694,417,0.728,0.1728,868,0,1
3336.3,171695,418,0.947,0.1947,1001,0,1
3354.0,172675,419,0.942,0.1942,980,0,1
3371.7,173676,420,0.947,0.1947,1001,0,1
3389.5,174659,421,0.949,0.1949,983,0,1
3407.2,175657,422,0.941,0.1941,998,0,1
3418.9,176277,423,0.244,0.1244,620,0,1
3436.6,177275,424,0.941,0.1941,998,0,1
3445.5,177743,425,-0.09,0.091,468,0,1
3454.1,178180,426,-0.114,0.0886,437,0,1
3471.9,179181,427,0.947,0.1947,1001,0,1
3486.9,180019,428,0.63,0.163,838,0,1
3504.6,180999,429,0.945,0.1945,980,0,1
3522.3,181997,430,0.941,0.1941,998,0,1
3540.0,182976,431,0.941,0.1941,979,0,1
3557.7,183974,432,0.941,0.1941,998,0,1
3575.4,184953,433,0.941,0.1941,979,0,1
3593.0,185951,434,0.941,0.1941,998,0,1
3610.8,186934,435,0.949,0.1949,983,0,1
3626.6,187822,436,0.728,0.1728,888,0,1
3636.9,188378,437,0.081,0.1081,556,0,1
3639.6,188456,438,-0.81,0.019,78,0,1
3645.5,188742,439,-0.445,0.0555,286,0,1
3663.1,189740,440,0.941,0.1941,998,0,1
3680.9,190720,441,0.945,0.1945,980,0,1
3691.2,191275,442,0.079,0.1079,555,0,1
3708.9,192275,443,0.945,0.1945,1000,0,1
3726.6,193253,444,0.941,0.1941,978,0,1
3744.2,194251,445,0.941,0.1941,998,0,1
3750.8,194563,446,-0.354,0.0646,312,0,1
3766.7,195451,447,0.728,0.1728,888,0,1
3784.4,196448,448,0.941,0.1941,997,0,1
3788.7,196621,449,-0.625,0.0375,173,0,1
3804.5,197509,450,0.728,0.1728,888,0,1
3822.2,198507,451,0.941,0.1941,998,0,1
3839.9,199487,452,0.945,0.1945,980,0,1
3857.6,200485,453,0.941,0.1941,998,0,1
3870.9,201198,454,0.423,0.1423,713,0,1
3888.6,202197,455,0.943,0.1943,999,0,1
3900.3,202818,456,0.244,0.1244,621,0,1
3918.0,203818,457,0.945,0.1945,1000,0,1
3932.6,204631,458,0.581,0.1581,813,0,1
3936.8,204801,459,-0.641,0.0359,170,0,1
3950.0,205531,460,0.418,0.1418,730,0,1
3967.6,206529,461,0.941,0.1941,998,0,1
3983.5,207398,462,0.728,0.1728,869,0,1
3996.9,208141,463,0.443,0.1443,743,0,1
4007.3,208698,464,0.083,0.1083,557,0,1
4025.0,209679,465,0.945,0.1945,981,0,1
4040.8,210567,466,0.728,0.1728,888,0,1
4043.7,210672,467,-0.797,0.0203,105,0,1
4055.4,211292,468,0.244,0.1244,620,0,1
4068.6,212023,469,0.42,0.142,731,0,1
4086.3,213001,470,0.941,0.1941,978,0,1
4102.9,213936,471,0.818,0.1818,935,0,1
4120.6,214934,472,0.941,0.1941,998,0,1
4138.3,215911,473,0.941,0.1941,977,0,1
4156.0,216911,474,0.945,0.1945,1000,0,1
4173.7,217889,475,0.941,0.1941,978,0,1
4191.4,218887,476,0.941,0.1941,998,0,1
4209.1,219867,477,0.945,0.1945,980,0,1
4220.7,220496,478,0.223,0.1223,629,0,1
4238.4,221476,479,0.945,0.1945,980,0,1
4248.6,222025,480,0.068,0.1068,549,0,1
4266.3,223024,481,0.943,0.1943,999,0,1
4284.1,224007,482,0.949,0.1949,983,0,1
4295.8,224647,483,0.244,0.1244,640,0,1
4308.2,225309,484,0.324,0.1324,662,0,1
4324.0,226197,485,0.728,0.1728,888,0,1
4341.7,227195,486,0.941,0.1941,998,0,1
4357.0,228028,487,0.66,0.166,833,0,1
4374.7,229025,488,0.941,0.1941,997,0,1
4392.3,230004,489,0.941,0.1941,979,0,1
4410.0,231002,490,0.941,0.1941,998,0,1
4420.9,231571,491,0.144,0.1144,569,0,1
4438.6,232569,492,0.941,0.1941,998,0,1
4456.3,233548,493,0.941,0.1941,979,0,1
4474.0,234546,494,0.941,0.1941,998,0,1
4491.7,235524,495,0.941,0.1941,978,0,1
4509.4,236522,496,0.941,0.1941,998,0,1
4527.1,237522,497,0.945,0.1945,1000,0,1
4542.9,238390,498,0.728,0.1728,868,0,1
